code,mun,municipio,poblacion,p2005
qoz5,324,San Pedro Pochutla,43860,37900
fe16,325,San Pedro Quiatoni,10491,9212
es23,326,San Pedro Sochiápam,4957,4182
nw43,327,San Pedro Tapanatepec,13992,11692
xe92,328,San Pedro Taviche,1173,1027
cm65,329,San Pedro Teozacoalco,1320,1143
xdt8,330,San Pedro Teutila,4277,3589
lte9,331,San Pedro Tidaá,894,713
hp81,332,San Pedro Topiltepec,406,341
fcu1,333,San Pedro Totolápam,2603,2313
rl86,334,Villa de Tututepec de Melchor Ocampo,43913,37668
sd31,335,San Pedro Yaneri,1002,865
wqo6,336,San Pedro Yólox,2267,1952
zts2,337,San Pedro y San Pablo Ayutla,5602,4832
uri9,338,Villa de Etla,9280,8125
tsc3,339,San Pedro y San Pablo Teposcolula,3989,3402
do17,340,San Pedro y San Pablo Tequixtepec,1878,1641
cp98,341,San Pedro Yucunama,232,201
qc28,342,San Raymundo Jalpan,2079,1808
mdn4,343,San Sebastián Abasolo,1849,1590
rgn1,344,San Sebastián Coatlán,2613,2277
gtn9,345,San Sebastián Ixcapa,3968,3426
pgz6,346,San Sebastián Nicananduta,1449,1233
lpw6,347,San Sebastián Río Hondo,3664,3227
nqj7,348,San Sebastián Tecomaxtlahuaca,8246,6868
vmv9,349,San Sebastián Teitipac,1976,1713
pup9,350,San Sebastián Tutla,16241,14131
tl54,351,San Simón Almolongas,2623,2254
els7,352,San Simón Zahuatlán,3833,3148
ib69,353,Santa Ana,1978,1616
ff58,354,Santa Ana Ateixtlahuaca,510,447
uc98,355,Santa Ana Cuauhtémoc,738,663
wqo7,356,Santa Ana del Valle,1993,1726
tci6,357,Santa Ana Tavela,908,834
rkx8,358,Santa Ana Tlapacoyan,1854,1594
lqk2,359,Santa Ana Yareni,809,759
ppf8,360,Santa Ana Zegache,3592,3101
no28,361,Santa Catalina Quierí,922,834
cm48,362,Santa Catarina Cuixtla,1496,1191
vvk1,363,Santa Catarina Ixtepeji,2633,2372
tl39,364,Santa Catarina Juquila,14710,12709
ja12,365,Santa Catarina Lachatao,1307,1153
jid7,366,Santa Catarina Loxicha,3986,3414
gs67,367,Santa Catarina Mechoacán,4543,4062
xv70,368,Santa Catarina Minas,1816,1552
krd1,369,Santa Catarina Quiané,1847,1600
wc21,370,Santa Catarina Tayata,679,580
wt27,371,Santa Catarina Ticuá,954,804
wj44,372,Santa Catarina Yosonotú,1886,1674
im40,373,Santa Catarina Zapoquila,448,386
ajh7,374,Santa Cruz Acatepec,1470,1214
wea1,375,Santa Cruz Amilpas,10120,8743
ojk0,376,Santa Cruz de Bravo,364,294
tag2,377,Santa Cruz Itundujia,10975,9364
lo02,378,Santa Cruz Mixtepec,3615,3019
dp05,379,Santa Cruz Nundaco,2958,2547
qms5,380,Santa Cruz Papalutla,1972,1698
nx30,381,Santa Cruz Tacache de Mina,2606,2160
fph2,382,Santa Cruz Tacahua,1170,1030
ane2,383,Santa Cruz Tayata,608,517
yak2,384,Santa Cruz Xitla,4514,3850
jpy7,385,Santa Cruz Xoxocotlán,77833,67034
mlw6,386,Santa Cruz Zenzontepec,17897,15408
rk28,387,Santa Gertrudis,2858,2426
qw21,388,Santa Inés del Monte,2535,2088
jl13,389,Santa Inés Yatzeche,921,832
ee66,390,Santa Lucía del Camino,47356,40805
mr27,391,Santa Lucía Miahuatlán,3356,2836
bz26,392,Santa Lucía Monteverde,6678,5869
mv78,393,Santa Lucía Ocotlán,3604,3137
jfc1,394,Santa María Alotepec,2778,2499
lap9,395,Santa María Apazco,1898,1662
fkl4,396,Santa María la Asunción,3252,2868
